dt,dataset,series_id,geo,value,source,ingest_ts
2000-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.0,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.0,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2000-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2001-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2002-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.0,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2003-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2004-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2005-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,9.0,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.5,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.4,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-09-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.3,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-10-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-11-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.2,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2006-12-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.1,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-01-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,8.0,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-02-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.9,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-03-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.8,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-04-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-05-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.7,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-06-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-07-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
2007-08-01,labour_unemployment,une_rt_m.EA20.TOTAL.T.SA.PC_ACT,EA20,7.6,eurostat_sdmx3_une_rt_m,2025-11-24T21:24:29+00:00
